No,登録日付,時間軸,費用規模,実現性難易度,タイトル,属性,概要,詳細,ポイント,生活シーン,参照
1,2016/04/30(Sat),通期,,,ボランティアミシュラン（信用調査を行う）を作る。,ボランティア,ボランティアの質が問われている。現地は判断できない。,TwitterやSNSで発信される情報をまとめて参照できるサイト／情報ポータルを公開する。,,,
2,2016/04/30(Sat),通期,,,人／マンパワーに関する情報を集約する。,ボランティア,ノウハウを持っている人材のデータベース／ホワイトリストを構築,現場を支えるマンパワーを持つ人材確認、アクセスできるようにしたい。,,,
3,2016/04/30(Sat),前期,低,低,普段から水をためる,被災者,風呂水,風呂の入った後に抜かずに翌日夜までにおいておく,,生活用水を確保する,
4,2016/04/30(Sat),前期,低,低,普段から水をためる,被災者,ペットボトル,1人1日3リットル、3日分で9リットル、7日分で21リットルあると安心,十分な水の量を確保する,飲料水,http://www.kobe-sonae.jp/provide/step4/
5,2016/04/30(Sat),前期,低,中,泥水と少量の水で炊飯を行う,被災者,災害用炊飯袋を使うことで非飲料水でも料理ができる,米と米1合に対して1カップの水を災害用炊飯袋（チャック付き袋で代替可能）に入れる。鍋に水（飲用水でなくてもよい）を入れて30分ほど加熱する。,チャック付きビニール袋を使うことで非飲料水でも料理ができる,料理,http://muroto.niye.go.jp/files/H26NEALLeader.pdf
6,2016/04/30(Sat),,低,低,サランラップは便利,被災者,サランラップでケガの応急処置ができる,"湿潤療法：創傷（特に擦過傷）や熱傷、褥瘡などの皮膚潰瘍に対し、従来のガーゼと消毒薬での治療を否定し、「消毒をしない」「乾かさない」「水道水でよく洗う」を3原則として行う治療法。
※あくまで応急処置として認識しておくことが必要。対応を誤ると、場合によっては敗血症など重篤な感染症を発症することがあるので注意が必要",,,https://ja.wikipedia.org/wiki/%E6%B9%BF%E6%BD%A4%E7%99%82%E6%B3%95
7,2016/04/30(Sat),,低,低,サランラップは便利,被災者,お皿をサランラップで巻いて使うと洗わなくて済む,水が大事な資源。食器洗いをする必要がないので、水が節約できる,お皿を洗わなくてよくすることで水を節約する,,
8,2016/04/30(Sat),,低,低,サランラップは便利,被災者,サランラップで寒さ対策,新聞紙とサランラップを組み合わせて腹巻きを作れる。保温効果大！,,,
9,2016/04/30(Sat),前期,低,低,マスク,被災者,外出時はマスクする,倒壊した家屋からカビ、建材（アスベスト）、有毒ガスが出ていることがあり、気分や健康を害するので、予防のためにマスクをする,外出時はできるだけマスクを着用する,外出、通勤,
10,2016/04/30(Sat),前期,,,"Amazonポイントの寄付
(Tポイントなど)",募金,ポイントで募金を行う仕組み作り,"元々ある仕組み(Amazonポイント、Tポイント)を使っているので、
簡潔に募金(ポイント)ができるのがメリット。
被災地にモノを送ることは仕訳の作業が必要なので、
募金等をもっと簡単にできる仕組みが良いと思われる。","誰もが気軽に
ボランティアを行える","避難施設に対する
募金を行う場合",
11,2016/04/30(Sat),前期,低,中,厚底靴、長靴,被災者,破傷風予防でしっかりした靴を履く,住宅の整理を行うときにサンダルなどで入ったためにくぎなどが突き刺さり、破傷風になってしまうため,丈夫な靴を履く。サンダルなどは履かない,家屋の整理,
